mu,P,sim,MLE_BAC,MLE_acc1,MLE_acc2,MLE_state0_mean,MLE_state1_mean,MLE_q12,MLE_q21,MLEK_BAC,MLEK_acc1,MLEK_acc2,MLEK_state0_mean,MLEK_state1_mean,MLEK_q12,MLEK_q21,Jump_BAC,Jump_acc1,Jump_acc2,Jump_state0_mean,Jump_state1_mean,Jump_q12,Jump_q21,Jump_best_lambda,SparseJump_BAC,SparseJump_acc1,SparseJump_acc2,SparseJump_state0_mean,SparseJump_state1_mean,SparseJump_q12,SparseJump_q21,SparseJump_best_lambda,SparseJump_best_kappa,MLEK_state0_mean_error,Jump_state0_mean_error,SparseJump_state0_mean_error,MLEK_state1_mean_error,Jump_state1_mean_error,SparseJump_state1_mean_error,MLEK_acc1_error,Jump_acc1_error,SparseJump_acc1_error,MLEK_acc2_error,Jump_acc2_error,SparseJump_acc2_error,MLEK_BAC_error,Jump_BAC_error,SparseJump_BAC_error
0.1,15,28,0.8369725843093143,0.8083989501312336,0.865546218487395,0.1421112229317476,-0.08111212340274496,0.011428571428571429,0.006172839506172839,0.8369725843093143,0.8083989501312336,0.865546218487395,0.1421112229317476,-0.08111212340274496,0.006172839506172839,0.011428571428571429,0.8689759368314255,0.9396325459317585,0.7983193277310925,0.12476361420703347,-0.1346728653905396,0.005235602094240838,0.008547008547008548,5.878016072274912,0.681234698603851,0.8582677165354331,0.5042016806722689,0.10168931417071903,-0.06564712946398626,0.0025906735751295338,0.008849557522123894,10.0,1.8839948757561285,0.0421112229317476,0.024763614207033463,0.0016893141707190196,0.01888787659725505,0.0346728653905396,0.03435287053601374,0.18384704986876632,0.05261345406824147,0.13397828346456686,0.055820781512605055,0.12304767226890756,0.41716531932773115,0.11983341569068573,0.08783006316857456,0.27557130139614905
0.1,15,29,0.662,0.662,,0.08645104740501018,0.07013565047570494,0.06547619047619048,0.03323262839879154,0.88,0.88,,0.11200719356821688,-0.1469157258093821,0.1,0.7288135593220338,1.0,1.0,,0.08093644324290501,,0.0,,17.012542798525892,1.0,1.0,,0.08093644324290501,,0.0,,10.0,1.0,0.012007193568216876,0.019063556757094993,0.019063556757094993,0.04691572580938208,,,0.11224599999999996,0.007754000000000039,0.007754000000000039,,,,0.07680600000000004,0.043193999999999955,0.043193999999999955
0.1,15,30,0.648894783377542,0.774712643678161,0.5230769230769231,0.0806792348375192,0.05469404970495385,0.01634877384196185,0.045454545454545456,0.5038019451812555,0.8229885057471265,0.18461538461538463,0.07653391699963263,0.06128239431923548,1.0,0.2146341463414634,0.5633068081343944,0.4804597701149425,0.6461538461538462,0.13325895754810543,0.022363786679479507,0.48314606741573035,0.5603448275862069,0.01,0.5502210433244916,0.8850574712643678,0.2153846153846154,0.08852217563601104,-0.026345243688122705,0.07816091954022988,0.53125,3.1622776601683795,1.0,0.02346608300036737,0.03325895754810543,0.011477824363988962,0.1612823943192355,0.12236378667947952,0.0736547563118773,0.1692574942528735,0.5117862298850575,0.10718852873563212,0.7367516153846154,0.27521315384615386,0.7059823846153847,0.4530040548187445,0.39349919186560567,0.4065849566755084
0.1,15,31,0.58,0.58,,0.06831582515184952,0.11967395955359565,0.01384083044982699,0.01904761904761905,0.592,0.592,,0.07529661182935406,0.11105550832746396,0.6858108108108109,1.0,1.0,1.0,,0.0898862416005829,,0.0,,17.012542798525892,1.0,1.0,,0.0898862416005829,,0.0,,31.622776601683793,1.0,0.02470338817064595,0.010113758399417111,0.010113758399417111,0.21105550832746395,,,0.400246,0.007754000000000039,0.007754000000000039,,,,0.3648060000000001,0.043193999999999955,0.043193999999999955
0.1,15,32,0.7621145374449338,0.5242290748898678,1.0,0.14373561764387338,0.01866825793638353,0.02109704641350211,0.019083969465648856,0.4822830875311243,0.6167400881057269,0.34782608695652173,0.11475395030078148,0.01856018939648467,0.708994708994709,0.432258064516129,0.7259624592989848,0.6475770925110133,0.8043478260869565,0.12574109252229032,0.005079236265585673,0.026490066225165563,0.04060913705583756,2.030917620904737,0.5970599502011109,0.7158590308370044,0.4782608695652174,0.09936785029147933,0.02927669421753682,0.10344827586206896,0.23841059602649006,3.1622776601683795,2.10499359469516,0.014753950300781471,0.025741092522290315,0.0006321497085206712,0.11856018939648467,0.10507923626558568,0.12927669421753682,0.37550591189427307,0.3446689074889867,0.27638696916299554,0.5735409130434783,0.1170191739130435,0.44310613043478264,0.47452291246887573,0.2308435407010152,0.35974604979888913
0.1,15,33,0.5603077619370898,0.6761710794297352,0.4444444444444444,0.12081150381210688,0.10739754149111644,0.043209876543209874,0.020771513353115726,0.46390586105453724,0.8167006109979633,0.1111111111111111,0.10836844007265728,0.15270971492324367,0.9888888888888889,0.2200488997555012,0.8533604887983707,0.7067209775967414,1.0,0.12340228091554004,0.10064499718980141,0.0,0.006535947712418301,5.878016072274912,0.8533604887983707,0.7067209775967414,1.0,0.12340228091554004,0.10064499718980141,0.0,0.006535947712418301,10.0,1.6629961568170963,0.008368440072657274,0.02340228091554003,0.02340228091554003,0.2527097149232437,0.20064499718980142,0.20064499718980142,0.17554538900203664,0.2855250224032586,0.2855250224032586,0.8102558888888889,0.07863299999999995,0.07863299999999995,0.4929001389454628,0.10344551120162937,0.10344551120162937
0.1,15,34,0.6245831572025738,0.6534216335540839,0.5957446808510638,0.055173879791509846,0.08175709804620772,0.044585987261146494,0.07567567567567568,0.49612512329153163,0.609271523178808,0.3829787234042553,0.03687227018924722,0.10901945059053143,0.45723684210526316,0.7128205128205128,0.6876849372974496,0.9072847682119205,0.46808510638297873,0.07872103981755879,-0.028399032618462484,0.0022988505747126436,0.015625,5.878016072274912,0.589263068902353,0.5827814569536424,0.5957446808510638,0.10766877005517654,0.009375914042668531,0.4574468085106383,0.5944700460829493,0.1,1.8839948757561285,0.06312772981075279,0.021278960182441214,0.007668770055176535,0.20901945059053145,0.07160096738153753,0.10937591404266854,0.382974476821192,0.08496123178807946,0.4094645430463576,0.5383882765957447,0.4532818936170213,0.32562231914893625,0.4606808767084684,0.26912106270255043,0.367542931097647
0.1,15,35,0.702,0.702,,0.07175528700165527,0.13939064530687786,0.10738255033557047,0.04285714285714286,0.644,0.644,,0.14667891846906309,-0.007164605947935468,0.5617977528089888,0.308411214953271,1.0,1.0,,0.0919106237766116,,0.0,,17.012542798525892,1.0,1.0,,0.0919106237766116,,0.0,,31.622776601683793,1.0,0.04667891846906308,0.0080893762233884,0.0080893762233884,0.09283539405206453,,,0.34824599999999994,0.007754000000000039,0.007754000000000039,,,,0.31280600000000003,0.043193999999999955,0.043193999999999955
0.1,15,36,0.38836104513064135,0.7767220902612827,0.0,0.036984119598178315,0.11255352345974708,0.02127659574468085,0.0024691358024691358,0.45671848221534017,0.5843230403800475,0.3291139240506329,-0.007473853546365968,0.13845903468875648,0.67,0.451505016722408,0.5886075949367089,1.0,0.17721518987341772,0.05776467245482573,-0.17700336078347706,0.00205761316872428,0.0,5.878016072274912,0.592035238582038,0.665083135391924,0.5189873417721519,0.07789987004285695,0.004524313672791809,0.11949685534591195,0.20441988950276244,3.1622776601683795,1.4419974378780642,0.10747385354636597,0.04223532754517428,0.022100129957143055,0.23845903468875648,0.07700336078347705,0.10452431367279182,0.4079229596199525,0.007754000000000039,0.327162864608076,0.5922530759493672,0.7441518101265823,0.40237965822784816,0.5000875177846599,0.36819840506329116,0.36477076141796205
0.1,15,37,0.774,0.774,,0.08313435733496641,0.07309097185292289,0.125,0.03617571059431524,0.596,0.596,,0.11586042197622447,0.029236981975729687,0.4074074074074074,0.6039603960396039,1.0,1.0,,0.08086455221602458,,0.0,,17.012542798525892,1.0,1.0,,0.08086455221602458,,0.0,,10.0,1.0,0.015860421976224462,0.019135447783975426,0.019135447783975426,0.1292369819757297,,,0.396246,0.007754000000000039,0.007754000000000039,,,,0.36080600000000007,0.043193999999999955,0.043193999999999955
