date,mkt,vlue,size,mtum,qual,usmv,iwf
2002-05-30,-0.0023967589137732226,5.560807429239034e-05,-0.00018432908025312056,-1.3018525619745702e-05,-0.003281307491158403,-0.0007708911501695948,-0.0006660178412052353
2002-05-31,0.0018647470186032855,0.003197286476868344,0.00036855860081752567,0.005790741361837881,0.0019440455606678508,0.002488041968832011,-0.0006642177377551572
2002-06-03,-0.02418273839637608,-0.025718482387828034,0.003031114981411509,-0.014736257174965628,-0.02330170976311241,-0.018508186313176966,-0.028766720333407547
2002-06-04,-0.0007732828647751822,-0.0029014364955199934,-0.008907254361799843,-0.005712269960036487,0.001387530196250708,-0.003214740762520818,0.0032228978336763525
2002-06-05,0.007877404681972289,0.005620061050409353,-0.0050790495523191925,0.009890770602567045,0.012779489019807189,0.004867160921122604,0.010909744563564194
2002-06-06,-0.019675819112628057,-0.01980141843971639,0.001616999661361307,-0.014617403625165726,-0.018228525871317625,-0.01687916475043294,-0.02264406439640898
2002-06-07,0.0005567218770374804,-0.00046307015512836447,-0.00831706265689569,0.003440578635599767,0.0023860366727821436,0.0033442153037661626,-0.004217155519272375
2002-06-10,0.002139895352003318,0.0021137363910122,-0.0009972129177427957,0.0068303133014508965,0.006570985647847083,0.006646297912864085,0.002375168943846262
2002-06-11,-0.017429609795691414,-0.01048860123089368,-4.265847623918795e-05,-0.009792759247423066,-0.015550167921941083,-0.013293521748556358,-0.0224428704627615
2002-06-12,0.005636135751657001,-0.002423640717164055,-0.009752143679877201,0.0031798014930271012,0.006257759116646611,-9.987116619547542e-05,0.007881394220310867
2002-06-13,-0.010910555498083951,-0.004976143781283859,-0.010123899295204297,-0.01144482255750423,-0.01224710873948065,-0.004794294789200904,-0.010165455476917828
2002-06-14,-0.0009059436482837802,-0.002647603918453867,-0.017478043642883856,-0.00326127745822824,-0.0009850115764247214,-0.0036531880087113944,-0.0006517499005603833
2002-06-17,0.027966897321263895,0.024363625637849218,0.00044295218774093037,0.022450174977173942,0.024964677420994397,0.020488541928985082,0.029422201761831523
2002-06-18,0.0005189560972826968,0.0025051110023324163,0.005224433050855071,0.0024292039120545894,-0.0005156939554717965,0.006040924300901196,-0.001709612728462706
2002-06-19,-0.01623243729195256,-0.01157513786764719,-0.011407694871140128,-0.0025549698560769496,-0.01447664784735525,-0.010253039118533036,-0.020058189046740282
2002-06-20,-0.013934407966236129,-0.013308923953157192,-0.0005524664955803837,-0.007692865861064435,-0.011316499536869196,-0.007157302034180635,-0.018071170411851245
2002-06-21,-0.015432160861241773,-0.017051980562509228,-2.6747026622198078e-05,-0.010939316645227404,-0.01770875763747448,-0.009026099806298316,-0.025631886250775837
2002-06-24,0.0020450316742079977,-0.008808724832214732,-0.0036466088321043255,-0.009477103745580528,0.0027161236147250634,-0.005279596977329937,0.010785253020443086
2002-06-25,-0.01672599390769869,-0.019436551599056884,0.003982102908277385,-0.016880152694934702,-0.016965975000775346,-0.013056337742843871,-0.021128615708837728
