Date,ActiveReturn_EWMA_8,ActiveReturn_EWMA_21,ActiveReturn_EWMA_63,RSI_8,RSI_21,RSI_63,StochOsc_%K_8,StochOsc_%K_21,StochOsc_%K_63,MACD_8_21,MACD_21_63,DownsideDev_log_21,ActiveMarketBeta_EWMA_21,MarketReturn_EWMA_21,VIX_log_diff_EWMA_21,2Y_diff_EWMA_21,10Y-2Y_EWMA_21
2002-08-28,-6.670346140122565e-05,0.0001242773085863315,0.00011316811474568115,43.33347915322404,50.725538582394854,43.45672298934529,0.0,61.577455810197414,44.34329110660477,0.02054856741990818,-0.8548492922588338,-11.336529712086364,0.0730657664264336,-0.0005675928947448838,0.0036846907155042167,-0.009489743133914591,-0.002812628845809582
2002-08-29,-0.00011449858094467266,9.615521115050327e-05,9.70258239645216e-05,31.48548063775857,50.66165715948792,43.659176899592126,0.0,61.074163560485125,46.17647683223547,0.0013868626213451307,-0.8422988706498842,-11.895062147567803,0.07304088336495955,-0.0005519457060816384,0.003934547337975826,-0.01246340730837168,-0.0016006871297268952
2002-08-30,-0.0004575434658630008,-6.239371751049031e-05,5.221844039729954e-06,33.56955456919971,54.47148914376658,44.69055666240826,0.0,56.879249495882036,43.725350746751566,-0.04188115731089681,-0.8387054275055306,-11.952802501172288,0.07359675438389053,-0.0006157150377767919,0.002647444019518908,-0.012005115786422426,-0.0022772476311616863
2002-09-03,7.782674483662316e-05,0.00015769182727557964,0.00013044249601673266,18.604484807906374,52.65222187880008,42.99757781214532,0.0,33.55712428965194,30.09802284883883,-0.22668036905241706,-0.8834148335284908,-11.96213728188136,0.04724381402926603,-0.002143068983638581,0.009968049812488737,-0.01632531291705388,-0.003292272613264087
2002-09-04,0.00024346564902161938,0.0002270711407798398,0.00017069111645568054,18.76247010981308,59.21676489588239,43.23931311605717,24.333477694551338,29.476225245656334,40.38264106695818,-0.3125203782816328,-0.8997627099606404,-11.96213728188136,0.04858276856446247,-0.001417162384570816,0.007220340678114403,-0.015365431887473363,-0.004266097347751027
2002-09-05,0.0003143486105537979,0.000258483920076865,0.00018971147013486904,21.365966236478997,52.78572237091971,43.64376255832747,5.333490818298374,4.040562213808476,34.32525144439014,-0.4481084990915889,-0.9348839891902117,-11.96213728188136,0.04690527457725228,-0.001957045495857957,0.008310055581678,-0.017349608089619963,-0.0033848198975987153
2002-09-06,6.272655629759319e-05,0.00015147454096843681,0.0001306260962972012,26.087302068458143,51.99714435823118,44.61180268978398,30.943043533913755,17.424986686600988,39.95775744710034,-0.5106308154203418,-0.9490091936830254,-11.908769285692813,0.04167356946656681,-0.0012699586055502322,0.005573855057956915,-0.012018796752770403,-0.002900584136290062
2002-09-09,0.0005774503221760001,0.0003705552107611918,0.0002541628081600171,39.91456173284426,49.772169423152725,45.06729362843931,77.24657306160402,32.57647359286525,46.333888234269935,-0.5006727596017839,-0.9406786384885777,-11.912409562411206,0.046221492419605936,-0.000871910971552259,0.005491809556726082,-0.009783374774084813,-0.004598247988504145
2002-09-10,0.00018509292509657745,0.00020908483692863705,0.0001662705424613171,46.91954734777904,50.301705756533984,46.11580759792467,85.9759601606653,35.60658455546285,47.60903594199562,-0.47764217672121845,-0.9280698509827658,-11.911212736700277,0.043229598849033865,-0.0005793259612433654,0.003918620807077632,-0.009791155048645887,-0.005869731258419629
2002-09-11,0.00016151444961893543,0.0001981124562092743,0.00016102320643827337,47.2554409905277,51.268324098583456,45.74401312991852,100.0,35.60658455546285,47.60903594199562,-0.45590712536221645,-0.9156808340366354,-11.928065004973405,0.04321192998587735,-0.0005551456566412834,0.0035018148559447905,-0.007293159967939129,-0.005301715002089743
2002-09-12,0.00035471142964620556,0.0002794508789413176,0.00020668663020740377,41.250107655649515,51.98754265239546,45.29363132721201,39.00664909861947,13.888935493552626,38.469697231196264,-0.5276121225893746,-0.9343602567487608,-12.1398233089816,0.03694875560272516,-0.0014270976007360974,0.006032318113385306,-0.009173415524451408,-0.006182797752931872
2002-09-13,0.00015766441538318107,0.00019808050078720625,0.00016340132521404062,58.38222192939984,44.73369206946476,45.245661739061596,33.282413294854415,14.546496230303966,38.746415502081,-0.5868845196475689,-0.9507225203539775,-12.10424192074381,0.036149685576975975,-0.0012802350262656975,0.004187940448163141,-0.010625202823721064,-0.006318536899672302
2002-09-16,0.0002014270293600914,0.000215263111152498,0.0001734586430360523,48.85883927652114,42.13891397987645,44.13417896007467,40.494423074651344,16.82304084867696,39.704443339175455,-0.6280711307554583,-0.962562921134321,-12.10424192074381,0.03624225842332877,-0.0011735969603357157,0.004938484080602299,-0.010248536696923483,-0.006803548226083832
2002-09-17,0.0004837420945484371,0.0003345061549746593,0.00023905232034586058,48.151781091368996,39.5832903354712,43.185958142390184,0.0,1.3921123781366678,37.51667554847673,-0.7287533058781293,-0.9955374178314003,-12.10424192074381,0.030001806601978074,-0.0018360310994262532,0.005965065420382671,-0.010239752203806539,-0.007269974879414885
2002-09-18,-0.0003777137968731842,-2.4622088452359636e-05,4.677738928545931e-05,29.461576342721116,32.50253504365186,43.7063420615325,0.0,0.0,34.179007748791776,-0.8733488701997771,-1.0457358846002904,-11.494611285958806,0.0323464621763873,-0.0019323815536674898,0.005297546176909445,-0.010583737213038798,-0.00666132102221945
2002-09-19,0.0007888539542876896,0.00045515868018757,0.0003033432840523613,8.26009652456483,32.2311085607718,43.82064854757581,0.0,0.0,28.026751831464225,-1.066334806854158,-1.115645719215891,-11.494611285958806,-0.0020042741923461294,-0.0029452414759377076,0.007927416666852885,-0.014077814442235048,-0.005021365398285693
