mu,P,sim,MLE_BAC,MLE_acc1,MLE_acc2,MLE_state0_mean,MLE_state1_mean,MLE_q12,MLE_q21,MLEK_BAC,MLEK_acc1,MLEK_acc2,MLEK_state0_mean,MLEK_state1_mean,MLEK_q12,MLEK_q21,Jump_BAC,Jump_acc1,Jump_acc2,Jump_state0_mean,Jump_state1_mean,Jump_q12,Jump_q21,Jump_best_lambda,SparseJump_BAC,SparseJump_acc1,SparseJump_acc2,SparseJump_state0_mean,SparseJump_state1_mean,SparseJump_q12,SparseJump_q21,SparseJump_best_lambda,SparseJump_best_kappa,MLEK_state0_mean_error,Jump_state0_mean_error,SparseJump_state0_mean_error,MLEK_state1_mean_error,Jump_state1_mean_error,SparseJump_state1_mean_error,MLEK_acc1_error,Jump_acc1_error,SparseJump_acc1_error,MLEK_acc2_error,Jump_acc2_error,SparseJump_acc2_error,MLEK_BAC_error,Jump_BAC_error,SparseJump_BAC_error
0.25,150,89,0.5337806210017164,0.5158371040723982,0.5517241379310345,-0.3206062971609835,0.3523252148026919,0.491869918699187,0.4743083003952569,0.5337806210017164,0.5158371040723982,0.5517241379310345,-0.3206062971609835,0.3523252148026919,0.4743083003952569,0.491869918699187,0.5630363551256046,0.5226244343891403,0.603448275862069,-0.31314741626973347,0.3446237686792061,0.37549407114624506,0.3902439024390244,5.878016072274912,0.6180371352785146,0.6153846153846154,0.6206896551724138,-0.1646446049508204,0.2604054233889009,0.06825938566552901,0.10194174757281553,31.622776601683793,9.651883626089147,0.5706062971609835,0.5631474162697334,0.4146446049508204,0.6023252148026919,0.5946237686792061,0.5104054233889008,0.4764088959276017,0.46962156561085966,0.37686138461538454,0.36964286206896557,0.3179187241379311,0.30067734482758623,0.42302537899828363,0.3937696448743955,0.3387688647214855
0.25,150,90,0.49822695035460995,0.5297872340425532,0.4666666666666667,0.3280810381209361,-0.3565266163735815,0.5148936170212766,0.45454545454545453,0.5024822695035461,0.5382978723404256,0.4666666666666667,0.322618024999698,-0.3620196037691011,0.5238095238095238,0.45149253731343286,0.5847517730496454,0.6361702127659574,0.5333333333333333,0.24229540673879268,-0.3886670698127578,0.21474358974358973,0.36363636363636365,17.012542798525892,0.649645390070922,0.8659574468085106,0.43333333333333335,0.035753129249381684,-0.15791587562475562,0.004728132387706856,0.02631578947368421,31.622776601683793,3.5955650878267438,0.072618024999698,0.007704593261207315,0.21424687075061832,0.11201960376910108,0.13866706981275778,0.09208412437524438,0.4539481276595744,0.35607578723404254,0.12628855319148935,0.4547003333333334,0.3880336666666667,0.4880336666666667,0.4543237304964539,0.3720542269503546,0.307160609929078
0.25,150,91,0.5310414853495793,0.5065274151436031,0.5555555555555556,0.33115177269399393,-0.3780371291520029,0.49387755102040815,0.4763779527559055,0.5271250362634174,0.49869451697127937,0.5555555555555556,0.33584700850369603,-0.3741981236898224,0.47470817120622566,0.5,0.556782932762045,0.660574412532637,0.452991452991453,0.22110179018103715,-0.46255389185396184,0.24050632911392406,0.41530054644808745,17.012542798525892,0.5724152551828792,0.9738903394255874,0.17094017094017094,0.0033337980254799183,-0.5374993264620596,0.014925373134328358,0.23333333333333334,31.622776601683793,3.5955650878267438,0.08584700850369603,0.02889820981896285,0.24666620197452008,0.12419812368982242,0.21255389185396184,0.28749932646205956,0.4935514830287206,0.3316715874673629,0.018355660574412513,0.36581144444444447,0.46837554700854706,0.750426829059829,0.4296809637365826,0.400023067237955,0.3843907448171209
0.25,150,92,0.53,0.53,,-0.25631379591551795,0.40172285237573907,0.5914893617021276,0.5227272727272727,0.53,0.53,,-0.25631379591551795,0.40172285237573907,0.5227272727272727,0.5914893617021276,1.0,1.0,,0.052963428781372855,,0.0,,142.51026703029993,1.0,1.0,,0.052963428781372855,,0.0,,100.0,1.0,0.506313795915518,0.19703657121862714,0.19703657121862714,0.651722852375739,,,0.46224599999999993,0.007754000000000039,0.007754000000000039,,,,0.426806,0.043193999999999955,0.043193999999999955
0.25,150,93,0.5348587223587223,0.48863636363636365,0.581081081081081,0.3695216932726131,-0.3157354262438955,0.44528301886792454,0.5042735042735043,0.5382371007371007,0.48863636363636365,0.5878378378378378,0.3710822487805273,-0.31453075326197605,0.44360902255639095,0.5064377682403434,0.5576243857493858,0.9801136363636364,0.13513513513513514,0.03954310337075987,-0.6007938907205244,0.00847457627118644,0.18518518518518517,49.238826317067414,0.601044226044226,0.9318181818181818,0.2702702702702703,0.09137272264632225,-0.5836883473262694,0.04367816091954023,0.3125,31.622776601683793,10.517071988698062,0.12108224878052731,0.21045689662924014,0.15862727735367776,0.06453075326197605,0.35079389072052436,0.3336883473262694,0.5036096363636363,0.012132363636363608,0.060427818181818194,0.3335291621621622,0.786231864864865,0.6510967297297298,0.4185688992628993,0.39918161425061427,0.355761773955774
0.25,150,94,0.548936170212766,0.597872340425532,0.5,-0.24992135752555691,0.4478826707968761,0.6108374384236454,0.4189189189189189,0.55,0.6,0.5,-0.248775673129969,0.44964393071230874,0.4175084175084175,0.6138613861386139,0.576950354609929,0.6872340425531915,0.4666666666666667,-0.19694163296326309,0.5226991092518264,0.2743362831858407,0.58125,5.878016072274912,0.5808510638297872,0.6617021276595745,0.5,-0.21252933464563067,0.49813739143375557,0.3128834355828221,0.5895953757225434,3.1622776601683795,9.651883626089147,0.498775673129969,0.44694163296326306,0.4625293346456307,0.6996439307123088,0.7726991092518264,0.7481373914337556,0.392246,0.3050119574468084,0.3305438723404255,0.42136700000000005,0.4547003333333334,0.42136700000000005,0.406806,0.379855645390071,0.3759549361702128
0.25,150,95,0.506,0.506,,0.4019480315654095,-0.30704046593670664,0.5335968379446641,0.5447154471544715,0.52,0.52,,0.39204319935575976,-0.31698906222006473,0.5732217573221757,0.5307692307692308,1.0,1.0,,0.051707713799364056,,0.0,,142.51026703029993,1.0,1.0,,0.051707713799364056,,0.0,,100.0,1.0,0.14204319935575976,0.19829228620063594,0.19829228620063594,0.06698906222006473,,,0.47224599999999994,0.007754000000000039,0.007754000000000039,,,,0.436806,0.043193999999999955,0.043193999999999955
0.25,150,96,0.4765325670498084,0.5086206896551724,0.4444444444444444,-0.32212504982746915,0.375219625929185,0.48627450980392156,0.5081967213114754,0.4893438697318008,0.5064655172413793,0.4722222222222222,-0.3247338825133783,0.37224382979385007,0.49407114624505927,0.508130081300813,0.5277777777777778,0.5,0.5555555555555556,0.3697303278890518,-0.32779184660950733,0.4860557768924303,0.49193548387096775,0.701703828670383,0.5796216475095786,0.6314655172413793,0.5277777777777778,-0.1891917216741728,0.3565211036309609,0.1553398058252427,0.25263157894736843,10.0,3.5955650878267438,0.5747338825133783,0.1197303278890518,0.4391917216741728,0.6222438297938501,0.07779184660950733,0.6065211036309609,0.4857804827586206,0.49224599999999996,0.3607804827586206,0.44914477777777784,0.36581144444444447,0.39358922222222226,0.46746213026819927,0.42902822222222226,0.3771843524904215
0.25,150,97,0.5759909113860137,0.5343347639484979,0.6176470588235294,0.3775390741027708,-0.3145145139039174,0.4732824427480916,0.5189873417721519,0.5759909113860137,0.5343347639484979,0.6176470588235294,0.3775390741027708,-0.3145145139039174,0.5189873417721519,0.4732824427480916,0.6170790204493815,0.6459227467811158,0.5882352941176471,0.2734865633416339,-0.33560802349633007,0.16825396825396827,0.2826086956521739,17.012542798525892,0.5971345619792982,0.5472103004291845,0.6470588235294118,0.3698174287277658,-0.32051704019107224,0.4232209737827715,0.4827586206896552,3.1622776601683795,10.517071988698062,0.12753907410277082,0.023486563341633904,0.1198174287277658,0.06451451390391738,0.08560802349633007,0.07051704019107224,0.4579112360515021,0.34632325321888413,0.44503569957081546,0.3037199411764706,0.33313170588235297,0.27430817647058825,0.3808150886139864,0.3397269795506186,0.3596714380207019
0.25,150,98,0.5175000000000001,0.49,0.545,-0.3401116843023148,0.30418918760270736,0.5,0.5485232067510548,0.5341666666666667,0.5533333333333333,0.515,-0.30735890784471076,0.33580750654479874,0.5611814345991561,0.5038167938931297,0.5558333333333333,0.6466666666666666,0.465,-0.23034354316103087,0.34213262703230496,0.2,0.3065326633165829,17.012542798525892,0.9625,1.0,0.925,-0.004939609820426025,0.0016592615210410237,0.0031847133757961785,0.010810810810810811,100.0,2.7303767252178295,0.5573589078447108,0.4803435431610309,0.254939609820426,0.5858075065447987,0.592132627032305,0.251659261521041,0.4389126666666666,0.34557933333333335,0.007754000000000039,0.40636700000000003,0.456367,0.0036329999999999973,0.42263933333333337,0.40097266666666675,0.005693999999999977
