mu,P,sim,MLE_BAC,MLE_acc1,MLE_acc2,MLE_state0_mean,MLE_state1_mean,MLE_q12,MLE_q21,MLEK_BAC,MLEK_acc1,MLEK_acc2,MLEK_state0_mean,MLEK_state1_mean,MLEK_q12,MLEK_q21,Jump_BAC,Jump_acc1,Jump_acc2,Jump_state0_mean,Jump_state1_mean,Jump_q12,Jump_q21,Jump_best_lambda,SparseJump_BAC,SparseJump_acc1,SparseJump_acc2,SparseJump_state0_mean,SparseJump_state1_mean,SparseJump_q12,SparseJump_q21,SparseJump_best_lambda,SparseJump_best_kappa
0.1,30,70,0.5308003029537995,0.5321888412017167,0.5294117647058824,-0.150291649793408,0.2632575301224502,0.5466101694915254,0.4866920152091255,0.5308003029537995,0.5321888412017167,0.5294117647058824,-0.150291649793408,0.2632575301224502,0.5466101694915254,0.4866920152091255,0.6155642514516536,0.7017167381974249,0.5294117647058824,-0.0798230576286118,0.3173954798092509,0.21052631578947367,0.46496815286624205,2.030917620904737,0.5729613733905579,0.6459227467811158,0.5,-0.07825192207305558,0.26008732298170445,0.19242902208201892,0.34065934065934067,3.1622776601683795,3.0664118038699972
0.1,30,71,0.5595877549237958,0.5701559020044543,0.5490196078431373,-0.13577231017516697,0.24944254288888254,0.4818181818181818,0.37992831541218636,0.5696100266387178,0.5902004454342984,0.5490196078431373,-0.12874263272825553,0.2562462531382503,0.5118483412322274,0.3784722222222222,0.576073190969038,0.5835189309576837,0.5686274509803921,-0.12612959757548683,0.2456811719954153,0.22183098591549297,0.2930232558139535,2.030917620904737,0.6389143630726233,0.5523385300668151,0.7254901960784313,-0.06252951284600797,0.14129857061019138,0.23754789272030652,0.2647058823529412,3.1622776601683795,1.0
0.1,30,72,0.504,0.504,,0.2824195789901531,-0.14084635863843503,0.4979757085020243,0.4880952380952381,0.51,0.51,,-0.1343863319259317,0.2877891902216297,0.5102040816326531,0.4921259842519685,1.0,1.0,,0.07247967392637335,,0.0,,17.012542798525892,1.0,1.0,,0.07247967392637335,,0.0,,31.622776601683793,1.0
0.1,30,73,0.5717969973289122,0.624113475177305,0.5194805194805194,-0.09163688744362908,0.27893490211463406,0.42524916943521596,0.6414141414141414,0.5712136563200393,0.6359338061465721,0.5064935064935064,-0.0892880885559531,0.2867190963054789,0.6458333333333334,0.40716612377850164,0.625725338491296,0.9787234042553191,0.2727272727272727,0.042701440494898005,0.26185551225592557,0.010660980810234541,0.16666666666666666,5.878016072274912,0.6180497989008626,0.9763593380614657,0.2597402597402597,0.04965810276321034,0.152867803385699,0.00851063829787234,0.10344827586206896,10.0,2.722009836558331
0.1,30,74,0.524,0.524,,0.23042053786349143,-0.1718111714076018,0.45977011494252873,0.5042016806722689,0.52,0.52,,0.23194174399679038,-0.17010721380808316,0.46332046332046334,0.5041666666666667,1.0,1.0,,0.038958244250451066,,0.0,,49.238826317067414,1.0,1.0,,0.038958244250451066,,0.0,,31.622776601683793,1.0
0.1,30,75,0.4288611996522747,0.5720081135902637,0.2857142857142857,0.2211386705599816,-0.19677498623995934,0.596244131455399,0.4405594405594406,0.42581860330339033,0.565922920892495,0.2857142857142857,0.2239543071552093,-0.19467267060405585,0.5972222222222222,0.45229681978798586,0.5,1.0,0.0,0.043107452763206766,,0.0,,49.238826317067414,0.5140538974210374,0.742393509127789,0.2857142857142857,0.14966721780408548,-0.2633551273155995,0.17567567567567569,0.5116279069767442,3.1622776601683795,4.099617705804996
0.1,30,76,0.5651556836543081,0.5812917594654788,0.5490196078431373,-0.1472446507525874,0.26923747676871923,0.6064814814814815,0.45936395759717313,0.5651556836543081,0.5812917594654788,0.5490196078431373,-0.1472446507525874,0.26923747676871923,0.45936395759717313,0.6064814814814815,0.6170793484431635,0.5478841870824054,0.6862745098039216,-0.1566202523410705,0.24106016925071005,0.4061302681992337,0.4495798319327731,0.701703828670383,0.9899777282850779,0.9799554565701559,1.0,0.03842171682950531,-0.009462353944563434,0.002277904328018223,0.016666666666666666,10.0,3.0664118038699972
0.1,30,77,0.530921052631579,0.5368421052631579,0.525,0.2229359045111783,-0.20765855059551805,0.46360153256704983,0.5042016806722689,0.5339912280701754,0.5263157894736842,0.5416666666666666,0.23012433847495375,-0.2045952196980591,0.48627450980392156,0.5081967213114754,0.5456140350877193,0.5078947368421053,0.5833333333333334,0.2353888168696435,-0.18927472768184692,0.4375,0.4609053497942387,0.701703828670383,0.9548245614035088,0.9763157894736842,0.9333333333333333,0.03891615016304322,-0.05118465641904675,0.0026455026455026454,0.008264462809917356,10.0,1.0
0.1,30,78,0.48493670613098705,0.5145888594164456,0.45528455284552843,-0.15789889354949863,0.22522707320511934,0.5038461538461538,0.5481171548117155,0.5177158137629121,0.4907161803713528,0.5447154471544715,0.22566067855170224,-0.1612608658353508,0.5394190871369294,0.5,0.5359384097819758,0.5596816976127321,0.5121951219512195,0.1870696284211771,-0.16628039311150494,0.25830258302583026,0.3026315789473684,2.030917620904737,0.5690625606521318,0.5039787798408488,0.6341463414634146,0.20559902561060556,-0.13470985561844498,0.20833333333333334,0.23829787234042554,3.1622776601683795,4.099617705804996
0.1,30,79,0.5021594684385382,0.5186046511627908,0.4857142857142857,0.21026975947391977,-0.1997439389712773,0.5166666666666667,0.47876447876447875,0.5021594684385382,0.5186046511627908,0.4857142857142857,0.21026975947391977,-0.1997439389712773,0.47876447876447875,0.5166666666666667,0.8421926910299002,0.9558139534883721,0.7285714285714285,0.029229985207575363,-0.08924736039414308,0.0,0.014285714285714285,17.012542798525892,0.7026578073089701,0.6767441860465117,0.7285714285714285,0.03397368878705885,-0.022159290064846588,0.0,0.005263157894736842,10.0,1.3444019673116663
0.1,30,80,0.4687285518188058,0.5664893617021277,0.3709677419354839,-0.14935855991243907,0.2759927755579837,0.6009615384615384,0.42955326460481097,0.4686856554564173,0.574468085106383,0.3629032258064516,-0.1483989410240119,0.2829113988252797,0.6127450980392157,0.4271186440677966,0.5391643788606726,0.4654255319148936,0.6129032258064516,0.26317066987684556,-0.16053397193298827,0.4729241877256318,0.5855855855855856,0.01,0.5939001372683597,0.5345744680851063,0.6532258064516129,0.1355897073814817,-0.07369038845305749,0.3843137254901961,0.4016393442622951,1.0,1.0
