Parameter,MLE Mean Error,MLEK Mean Error,Jump Mean Error,SparseJump Mean Error,p (Sparse < MLE),p (Sparse < MLEK),p (Sparse < Jump)
state0_mean,0.0001528605941490334,0.0001516151732131067,0.00015282501851692968,0.00015032747587898784,0.18156587806345936,0.31316855551465744,0.017675365107687566
state1_mean,0.002200380909131518,0.0029017893140368184,0.001443134768637174,0.0011389296316464837,6.42555540670098e-58,1.4867284908262049e-92,3.37719043136541e-35
state0_vol,0.0005508806219458451,0.0006526821885191298,0.00021226857753579178,0.00022732781853472222,3.4764726938219775e-123,3.8340474969618045e-150,0.9999971109980884
state1_vol,0.006547769483481198,0.009803000488441436,0.0015641680144613543,0.0015545727737092294,7.98646606629606e-134,2.64989128056897e-162,0.2557762555277751
gamma12,0.08170294631419515,0.2828362789875822,0.000790960567651478,0.000729341012983192,1.6729454079174543e-165,1.6679299755955323e-165,2.664279466551577e-06
gamma21,0.17074192449166128,0.3106809223611735,0.008795065210518985,0.008550329617850131,2.8963637692609917e-145,2.348743573309103e-156,0.0004626343213431611
acc1,0.0068716154883269685,0.007525485271712579,0.012111617504759505,0.017225647495645688,1.0,1.0,0.9999999999981855
acc2,0.34573824466827546,0.45179081423039347,0.12002269646989899,0.12214623120601201,1.8528836894045372e-107,2.185627564079485e-138,0.9999193586960009
BAC,0.172488356214423,0.22833535646219477,0.060260167822932455,0.05881481019030924,4.036891522099456e-109,3.774633058750682e-137,0.38217050470777286
