T,lambda,BAC
250,0.01,0.5927469346612402
250,0.03162277660168379,0.5922668674548094
250,0.1,0.592692095057676
250,0.31622776601683794,0.5947858720309501
250,1.0,0.597276543939416
250,3.1622776601683795,0.6023560687757747
250,10.0,0.6133470795275958
250,31.622776601683793,0.6358141394481609
250,100.0,0.6594797047054344
250,316.22776601683796,0.5821343434799965
500,0.01,0.7191140266589592
500,0.03162277660168379,0.7191550032307388
500,0.1,0.7214378254394556
500,0.31622776601683794,0.7248599162997129
500,1.0,0.7268501418362672
500,3.1622776601683795,0.7295135616238915
500,10.0,0.7390430651912584
500,31.622776601683793,0.75645292323377
500,100.0,0.7704818536743056
500,316.22776601683796,0.6920000241065011
1000,0.01,0.8277352741327276
1000,0.03162277660168379,0.8285406129205459
1000,0.1,0.830786495420638
1000,0.31622776601683794,0.8381680339113363
1000,1.0,0.8510256767428296
1000,3.1622776601683795,0.8518597250221992
1000,10.0,0.8617380254775019
1000,31.622776601683793,0.8770673680193788
1000,100.0,0.8862892872122641
1000,316.22776601683796,0.8050257145343825
2000,0.01,0.8799746894990661
2000,0.03162277660168379,0.8812698653326396
2000,0.1,0.8843605335606544
2000,0.31622776601683794,0.8940208369067698
2000,1.0,0.9111087065064346
2000,3.1622776601683795,0.9194422595212725
2000,10.0,0.9237728723735686
2000,31.622776601683793,0.936580412008925
2000,100.0,0.9404925485330241
2000,316.22776601683796,0.8781567921368347
