T,lambda,BAC
250,0.01,0.5874906763780551
250,0.046415888336127774,0.5875939539305627
250,0.21544346900318834,0.5884469504268657
250,1.0,0.5915805390298627
250,4.6415888336127775,0.5981228356352319
250,21.54434690031882,0.6214478329919906
250,100.0,0.6382459684153654
250,464.1588833612773,0.5290291028507785
250,2154.4346900318824,0.5
250,10000.0,0.5
500,0.01,0.708502602224023
500,0.046415888336127774,0.7088218744109757
500,0.21544346900318834,0.7101166779904443
500,1.0,0.711948633080651
500,4.6415888336127775,0.7170526628727423
500,21.54434690031882,0.7333753298940328
500,100.0,0.7338283637242135
500,464.1588833612773,0.5817179400503689
500,2154.4346900318824,0.5
500,10000.0,0.5
1000,0.01,0.8188028237188748
1000,0.046415888336127774,0.8192955658088256
1000,0.21544346900318834,0.8203789212025115
1000,1.0,0.8253775182772795
1000,4.6415888336127775,0.8345088858055317
1000,21.54434690031882,0.8469884747734447
1000,100.0,0.8436304858770155
1000,464.1588833612773,0.6598799217451291
1000,2154.4346900318824,0.5
1000,10000.0,0.5
2000,0.01,0.8665830365357409
2000,0.046415888336127774,0.8669223691643204
2000,0.21544346900318834,0.8685964641398325
2000,1.0,0.8749621715116855
2000,4.6415888336127775,0.8885911068460393
2000,21.54434690031882,0.9067540905271497
2000,100.0,0.8988028253054285
2000,464.1588833612773,0.7067682624515508
2000,2154.4346900318824,0.5002841726618705
2000,10000.0,0.5
