Date,Value
1998-10-20,245.921549
1998-10-21,246.330766
1998-10-22,247.183966
1998-10-23,245.744152
1998-10-26,245.79756
1998-10-27,245.597222
1998-10-28,246.359822
1998-10-29,250.631012
1998-10-30,253.776528
1998-11-02,257.446768
1998-11-03,258.361184
1998-11-04,261.897392
1998-11-05,265.124344
1998-11-06,265.408853
1998-11-09,262.973865
1998-11-10,262.16137
1998-11-11,261.889063
1998-11-12,261.486153
1998-11-13,263.96119
1998-11-16,266.059497
1998-11-17,267.161819
1998-11-18,267.963536
1998-11-19,269.073474
1998-11-20,271.269741
1998-11-23,277.551174
1998-11-24,276.971103
1998-11-25,277.469412
1998-11-26,277.469412
1998-11-27,278.037897
1998-11-30,271.703704
1998-12-01,274.658565
1998-12-02,275.270034
1998-12-03,270.784249
1998-12-04,275.323092
1998-12-07,277.509801
1998-12-08,275.814453
1998-12-09,274.266454
1998-12-10,269.508949
1998-12-11,268.818399
1998-12-14,262.539597
1998-12-15,265.255625
1998-12-16,266.021949
1998-12-17,270.750893
1998-12-18,271.468708
1998-12-21,274.590113
1998-12-22,273.904423
1998-12-23,277.890242
1998-12-24,278.046025
1998-12-25,278.046025
1998-12-28,277.119582
1998-12-29,279.428516
1998-12-30,279.375149
1998-12-31,277.851238
1999-01-01,277.851238
1999-01-04,278.268138
1999-01-05,282.595149
1999-01-06,289.921524
1999-01-07,290.736797
1999-01-08,294.275526
1999-01-11,295.419646
1999-01-12,289.421199
1999-01-13,288.099015
1999-01-14,281.010714
1999-01-15,286.356621
1999-01-18,286.356621
1999-01-19,287.697566
1999-01-20,285.634892
1999-01-21,281.449917
1999-01-22,278.579485
1999-01-25,278.915711
1999-01-26,281.600899
1999-01-27,276.696007
1999-01-28,280.881547
1999-01-29,284.436112
1999-02-01,283.19114
1999-02-02,278.783589
1999-02-03,281.46201
1999-02-04,277.271668
1999-02-05,275.354478
1999-02-08,276.005762
1999-02-09,270.385281
1999-02-10,271.026768
1999-02-11,275.353267
1999-02-12,270.76996
1999-02-15,270.76996
1999-02-16,271.999274
1999-02-17,268.441455
1999-02-18,271.80447
1999-02-19,272.058561
1999-02-22,279.49802
1999-02-23,278.342703
1999-02-24,276.118207
1999-02-25,273.963839
1999-02-26,270.446635
1999-03-01,270.470613
1999-03-02,270.427901
1999-03-03,271.036587
1999-03-04,272.361287
1999-03-05,278.27884
1999-03-08,278.485653
1999-03-09,277.368183
1999-03-10,279.015435
1999-03-11,280.747241
1999-03-12,279.962541
1999-03-15,282.619241
1999-03-16,282.743142
1999-03-17,281.591613
1999-03-18,286.371996
1999-03-19,281.648045
1999-03-22,281.736633
1999-03-23,274.602299
1999-03-24,276.353466
1999-03-25,279.326936
1999-03-26,278.575289
1999-03-29,283.371243
1999-03-30,280.85254
1999-03-31,277.966208
1999-04-01,278.524209
1999-04-02,278.524209
1999-04-05,284.048368
1999-04-06,282.919551
1999-04-07,284.288931
1999-04-08,284.821679
1999-04-09,286.143213
1999-04-12,287.247308
1999-04-13,286.051574
1999-04-14,287.014694
1999-04-15,288.967737
1999-04-16,290.88764
1999-04-19,290.856072
1999-04-20,291.620212
1999-04-21,296.767041
1999-04-22,299.937775
1999-04-23,300.049744
1999-04-26,300.028631
1999-04-27,302.082051
1999-04-28,303.434978
