Date,Value
1999-10-27,3781.231598
1999-10-28,3913.067525
1999-10-29,3977.756327
1999-11-01,3952.761597
1999-11-02,3932.596217
1999-11-03,3950.106441
1999-11-04,3971.906073
1999-11-05,3994.77564
1999-11-08,4018.172999
1999-11-09,3982.623551
1999-11-10,4001.221263
1999-11-11,4024.007194
1999-11-12,4065.264813
1999-11-15,4057.633677
1999-11-16,4131.592592
1999-11-17,4102.430783
1999-11-18,4147.16731
1999-11-19,4141.46127
1999-11-22,4149.022661
1999-11-23,4108.416049
1999-11-24,4145.27579
1999-11-25,4145.27579
1999-11-26,4144.556921
1999-11-29,4119.112885
1999-11-30,4064.081609
1999-12-01,4098.968183
1999-12-02,4134.071166
1999-12-03,4205.304576
1999-12-06,4182.367787
1999-12-07,4149.301888
1999-12-08,4136.331376
1999-12-09,4160.529321
1999-12-10,4183.081859
1999-12-13,4186.077388
1999-12-14,4147.64067
1999-12-15,4184.09914
1999-12-16,4203.720208
1999-12-17,4212.005301
1999-12-20,4214.875979
1999-12-21,4246.123975
1999-12-22,4258.067257
1999-12-23,4321.456318
1999-12-24,4321.456318
1999-12-27,4310.999626
1999-12-28,4315.961323
1999-12-29,4336.442987
1999-12-30,4337.044289
1999-12-31,4347.849845
2000-01-03,4320.30907
2000-01-04,4147.333197
2000-01-05,4158.507443
2000-01-06,4123.824419
2000-01-07,4266.32826
2000-01-10,4319.110233
2000-01-11,4260.026958
2000-01-12,4235.483027
2000-01-13,4291.744938
2000-01-14,4332.226202
2000-01-17,4332.226202
2000-01-18,4298.451561
2000-01-19,4305.271487
2000-01-20,4269.206968
2000-01-21,4259.394888
2000-01-24,4144.913957
2000-01-25,4169.75353
2000-01-26,4149.730516
2000-01-27,4133.383564
2000-01-28,4021.811647
2000-01-31,4113.878321
2000-02-01,4168.684766
2000-02-02,4162.462696
2000-02-03,4209.606419
2000-02-04,4204.414988
2000-02-07,4207.277814
2000-02-08,4249.960345
2000-02-09,4157.363784
2000-02-10,4166.8777
2000-02-11,4085.486686
2000-02-14,4095.686428
2000-02-15,4123.936301
2000-02-16,4071.225316
2000-02-17,4068.273772
2000-02-18,3949.382669
2000-02-21,3949.382669
2000-02-22,3963.411285
2000-02-23,3994.015451
2000-02-24,3977.238698
2000-02-25,3916.703154
2000-02-28,3961.3057
2000-02-29,4016.990079
2000-03-01,4048.139303
2000-03-02,4068.622139
2000-03-03,4147.193886
2000-03-06,4085.84525
2000-03-07,3978.416217
2000-03-08,4013.072488
2000-03-09,4108.641662
2000-03-10,4084.517085
2000-03-13,4059.079196
2000-03-14,3992.938551
2000-03-15,4087.746683
2000-03-16,4282.273622
2000-03-17,4296.822497
2000-03-20,4282.782227
2000-03-21,4393.619962
2000-03-22,4418.207523
2000-03-23,4502.272702
2000-03-24,4501.143645
2000-03-27,4492.26354
2000-03-28,4447.374058
2000-03-29,4450.500726
2000-03-30,4390.356043
2000-03-31,4418.596643
2000-04-03,4444.961675
2000-04-04,4420.013133
2000-04-05,4396.450456
2000-04-06,4431.787224
2000-04-07,4471.28997
2000-04-10,4442.839461
2000-04-11,4431.36428
2000-04-12,4337.925563
2000-04-13,4259.098608
2000-04-14,4004.616072
2000-04-17,4140.55715
2000-04-18,4255.984623
2000-04-19,4206.765656
2000-04-20,4230.486831
2000-04-21,4230.486831
2000-04-24,4214.582896
2000-04-25,4344.086701
2000-04-26,4300.404334
2000-04-27,4311.280807
2000-04-28,4274.863515
2000-05-01,4314.949514
2000-05-02,4253.049317
2000-05-03,4163.598112
2000-05-04,4144.399064
2000-05-05,4207.098319
2000-05-08,4184.674327
2000-05-09,4152.788115
2000-05-10,4071.458993
2000-05-11,4146.294137
2000-05-12,4182.875965
2000-05-15,4274.397795
2000-05-16,4309.563239
2000-05-17,4249.430778
2000-05-18,4214.148548
2000-05-19,4136.992296
2000-05-22,4115.620263
2000-05-23,4040.430712
2000-05-24,4109.636915
2000-05-25,4055.111757
2000-05-26,4044.161276
2000-05-29,4044.161276
2000-05-30,4169.241052
2000-05-31,4163.258876
2000-06-01,4241.403772
2000-06-02,4319.870991
2000-06-05,4296.380261
2000-06-06,4268.984731
2000-06-07,4312.081074
2000-06-08,4282.356193
2000-06-09,4260.174157
2000-06-12,4227.109573
2000-06-13,4290.526098
2000-06-14,4292.818036
2000-06-15,4319.509691
2000-06-16,4273.266819
2000-06-19,4335.347008
2000-06-20,4311.302089
2000-06-21,4323.0819
2000-06-22,4251.013298
2000-06-23,4221.194974
2000-06-26,4250.879316
2000-06-27,4240.912292
2000-06-28,4256.921785
2000-06-29,4228.921756
2000-06-30,4261.813382
2000-07-03,4299.532175
2000-07-04,4299.532175
2000-07-05,4237.276379
2000-07-06,4264.315819
2000-07-07,4324.672325
2000-07-10,4313.83893
2000-07-11,4325.051577
2000-07-12,4356.876749
2000-07-13,4361.775676
2000-07-14,4397.235127
2000-07-17,4399.696695
2000-07-18,4354.090978
2000-07-19,4329.574663
2000-07-20,4370.845599
2000-07-21,4318.706167
2000-07-24,4274.521022
2000-07-25,4293.599881
2000-07-26,4227.921299
2000-07-27,4240.097997
2000-07-28,4161.492327
2000-07-31,4185.000115
2000-08-01,4210.929613
2000-08-02,4213.777657
2000-08-03,4248.225617
2000-08-04,4275.852696
2000-08-07,4312.852301
2000-08-08,4325.32238
2000-08-09,4294.005628
2000-08-10,4259.504304
2000-08-11,4289.573908
2000-08-14,4344.339442
2000-08-15,4322.376574
2000-08-16,4310.482908
2000-08-17,4346.165699
2000-08-18,4329.906359
2000-08-21,4354.963878
2000-08-22,4349.482201
2000-08-23,4373.635697
2000-08-24,4379.589936
2000-08-25,4377.74775
2000-08-28,4402.098815
2000-08-29,4393.322338
2000-08-30,4370.2053
2000-08-31,4404.203825
2000-09-01,4409.484762
2000-09-04,4409.484762
2000-09-05,4371.778856
2000-09-06,4325.705776
2000-09-07,4347.939227
2000-09-08,4329.094515
2000-09-11,4314.229196
2000-09-12,4293.885954
2000-09-13,4298.808855
2000-09-14,4285.796357
2000-09-15,4241.702197
2000-09-18,4181.766672
2000-09-19,4226.071493
2000-09-20,4203.61803
2000-09-21,4204.22465
2000-09-22,4204.95959
2000-09-25,4175.041621
2000-09-26,4138.370302
2000-09-27,4136.700904
2000-09-28,4223.249473
2000-09-29,4163.809392
2000-10-02,4153.263996
2000-10-03,4119.092278
2000-10-04,4148.246629
2000-10-05,4150.454894
2000-10-06,4080.211139
2000-10-09,4056.717585
2000-10-10,4015.103602
2000-10-11,3936.850888
2000-10-12,3834.223336
2000-10-13,3956.159835
2000-10-16,3952.134723
2000-10-17,3883.653505
2000-10-18,3864.989431
2000-10-19,3994.116395
2000-10-20,4011.985669
2000-10-23,4015.298356
2000-10-24,4024.933041
2000-10-25,3948.472047
2000-10-26,3953.342009
2000-10-27,3995.750226
2000-10-30,4042.21731
2000-10-31,4133.470483
2000-11-01,4116.905779
2000-11-02,4144.917712
2000-11-03,4136.727603
2000-11-06,4153.502904
2000-11-07,4155.261257
2000-11-08,4091.406723
2000-11-09,4065.006234
2000-11-10,3962.990719
2000-11-13,3918.132677
2000-11-14,4011.51243
2000-11-15,4031.928843
2000-11-16,3985.824556
2000-11-17,3973.039462
2000-11-20,3892.965648
2000-11-21,3900.849485
2000-11-22,3824.703776
2000-11-23,3824.703776
2000-11-24,3885.494794
2000-11-27,3905.866545
2000-11-28,3867.237798
2000-11-29,3890.282216
2000-11-30,3808.30856
2000-12-01,3804.007732
2000-12-04,3830.062658
2000-12-05,3979.467379
2000-12-06,3906.698798
2000-12-07,3882.625932
2000-12-08,3963.512768
2000-12-11,4000.533248
2000-12-12,3981.254453
2000-12-13,3953.901802
2000-12-14,3896.564786
2000-12-15,3803.539993
2000-12-18,3831.984622
2000-12-19,3778.849097
2000-12-20,3647.931293
2000-12-21,3678.703986
2000-12-22,3765.37319
2000-12-25,3765.37319
2000-12-26,3790.093594
2000-12-27,3827.155034
2000-12-28,3841.838119
2000-12-29,3801.778294
2001-01-01,3801.778294
2001-01-02,3701.068786
2001-01-03,3886.877594
2001-01-04,3842.312216
2001-01-05,3739.567311
2001-01-08,3730.97642
2001-01-09,3752.560838
2001-01-10,3788.719485
2001-01-11,3825.84857
2001-01-12,3804.815143
2001-01-15,3804.815143
2001-01-16,3833.656856
2001-01-17,3837.520901
2001-01-18,3889.209674
2001-01-19,3876.527844
2001-01-22,3873.927303
2001-01-23,3921.343871
2001-01-24,3938.501357
2001-01-25,3917.395524
2001-01-26,3909.748846
2001-01-29,3933.384581
2001-01-30,3962.947699
2001-01-31,3940.798586
2001-02-01,3962.019882
2001-02-02,3888.781048
2001-02-05,3905.127064
2001-02-06,3902.268675
2001-02-07,3870.279568
2001-02-08,3845.042499
2001-02-09,3785.521187
2001-02-12,3833.562595
2001-02-13,3798.844447
2001-02-14,3789.006108
2001-02-15,3821.082883
2001-02-16,3761.040463
2001-02-19,3761.040463
2001-02-20,3696.864824
2001-02-21,3629.367787
2001-02-22,3620.189794
2001-02-23,3599.853233
2001-02-26,3668.3582
2001-02-27,3641.07721
2001-02-28,3588.647479
2001-03-01,3591.655821
2001-03-02,3566.34354
2001-03-05,3586.716167
2001-03-06,3618.030185
2001-03-07,3641.013146
2001-03-08,3649.478285
2001-03-09,3560.816503
2001-03-12,3401.7111
2001-03-13,3459.645502
2001-03-14,3368.934084
2001-03-15,3387.549853
2001-03-16,3317.829818
2001-03-19,3376.932259
2001-03-20,3294.985807
2001-03-21,3233.417127
2001-03-22,3216.994564
2001-03-23,3283.106491
2001-03-26,3326.121541
2001-03-27,3417.955757
2001-03-28,3335.664701
2001-03-29,3323.321174
2001-03-30,3359.8722
2001-04-02,3317.897104
2001-04-03,3199.830792
2001-04-04,3191.12751
2001-04-05,3333.698467
2001-04-06,3269.704634
2001-04-09,3297.645716
2001-04-10,3384.008728
2001-04-11,3374.431498
2001-04-12,3421.966901
2001-04-13,3421.966901
2001-04-16,3414.208681
2001-04-17,3452.064925
2001-04-18,3583.609188
2001-04-19,3632.634479
2001-04-20,3603.500326
2001-04-23,3548.846875
2001-04-24,3504.299068
2001-04-25,3563.731462
2001-04-26,3582.116806
2001-04-27,3631.502725
2001-04-30,3621.650306
2001-05-01,3673.604008
2001-05-02,3677.910336
2001-05-03,3622.64953
2001-05-04,3677.228267
2001-05-07,3669.173722
2001-05-08,3660.955569
2001-05-09,3644.007034
2001-05-10,3642.537676
2001-05-11,3615.084338
2001-05-14,3627.051631
2001-05-15,3625.970944
2001-05-16,3729.68146
2001-05-17,3737.512933
2001-05-18,3743.999902
2001-05-21,3797.632182
2001-05-22,3788.260674
2001-05-23,3731.437613
2001-05-24,3745.729967
2001-05-25,3702.428379
2001-05-28,3702.428379
2001-05-29,3673.772948
2001-05-30,3620.246908
2001-05-31,3643.444919
2001-06-01,3658.386724
2001-06-04,3678.490902
2001-06-05,3723.229224
2001-06-06,3684.366919
2001-06-07,3702.696386
2001-06-08,3668.329813
2001-06-11,3641.351667
2001-06-12,3645.63819
2001-06-13,3607.304743
2001-06-14,3546.634846
2001-06-15,3527.24466
2001-06-18,3512.446869
2001-06-19,3525.203553
2001-06-20,3563.834828
2001-06-21,3602.444154
2001-06-22,3566.455748
2001-06-25,3545.186212
2001-06-26,3536.235274
2001-06-27,3521.720979
2001-06-28,3568.774773
2001-06-29,3560.065208
2001-07-02,3600.636646
2001-07-03,3592.288066
2001-07-04,3592.288066
2001-07-05,3545.275304
2001-07-06,3464.338536
2001-07-09,3492.181222
2001-07-10,3444.344847
2001-07-11,3441.165164
2001-07-12,3523.162234
2001-07-13,3545.213534
2001-07-16,3511.235198
2001-07-17,3547.509502
2001-07-18,3528.665184
2001-07-19,3549.613335
2001-07-20,3536.518962
2001-07-23,3476.796257
2001-07-24,3419.73808
2001-07-25,3473.662377
