mu,P,sim,HMM_BAC,Jump_BAC,SparseJump_BAC,Jump_Lambda,Sparse_Lambda,Sparse_Kappa,,
 0.25 , 15.00 , 7.00 , 1.00 , 1.00 , 0.99 , 5.88 , 10.00 , 1.88 ,,
 0.25 , 15.00 , 8.00 , 1.00 , 1.00 , 1.00 , 5.88 , 3.16 , 2.99 ,,
 0.25 , 15.00 , 9.00 , 0.38 , 1.00 , 1.00 , 5.88 , 10.00 , 1.66 ,,
 0.25 , 30.00 , -   , 0.60 , 1.00 , 1.00 , 17.01 , 31.62 , 1.00 ,,
 0.25 , 30.00 , 1.00 , 0.49 , 0.99 , 1.00 , 5.88 , 10.00 , 2.03 ,,
 0.25 , 30.00 , 2.00 , 0.49 , 1.00 , 0.99 , 5.88 , 10.00 , 2.72 ,,
 0.25 , 30.00 , 3.00 , 0.51 , 0.56 , 0.90 , 2.03 , 10.00 , 1.69 ,,
 0.25 , 30.00 , 4.00 , 0.54 , 0.99 , 1.00 , 5.88 , 10.00 , 2.38 ,,
 0.25 , 30.00 , 5.00 , 0.47 , 0.80 , 0.83 , 5.88 , 10.00 , 1.00 ,,
 0.25 , 30.00 , 6.00 , 0.52 , 1.00 , 1.00 , 5.88 , 10.00 , 2.03 ,,
 0.25 , 30.00 , 7.00 , 0.53 , 0.94 , 0.94 , 5.88 , 10.00 , 1.69 ,,
 0.25 , 30.00 , 8.00 , 0.52 , 1.00 , 1.00 , 5.88 , 10.00 , 3.41 ,,
 0.25 , 30.00 , 9.00 , 0.50 , 1.00 , 0.75 , 17.01 , 10.00 , 1.69 ,,
 0.25 , 60.00 , -   , 0.55 , 1.00 , 1.00 , 142.51 , 31.62 , 1.00 ,,
 0.25 , 60.00 , 1.00 , 0.50 , 1.00 , 0.99 , 17.01 , 10.00 , 3.08 ,,
 0.25 , 60.00 , 2.00 , 0.52 , 0.98 , 0.99 , 17.01 , 31.62 , 2.04 ,,
 0.25 , 60.00 , 3.00 , 0.42 , 0.50 , 0.83 , 49.24 , 31.62 , 1.00 ,,
 0.25 , 60.00 , 4.00 , 0.53 , 0.98 , 1.00 , 17.01 , 10.00 , 3.08 ,,
 0.25 , 60.00 , 5.00 , 0.51 , 0.53 , 0.80 , 17.01 , 31.62 , 1.52 ,,
 0.25 , 60.00 , 6.00 , 0.53 , 0.99 , 0.99 , 17.01 , 10.00 , 2.56 ,,
