mu,P,Jump_best_lambda_mean,Jump_best_lambda_sem,SparseJump_best_lambda_mean,SparseJump_best_lambda_sem,SparseJump_best_kappa_mean,SparseJump_best_kappa_sem
0.02,15,7.01346706756794,0.9312376190127456,5.733015013260092,0.8253908707225106,1.212158770181471,0.044524468255740815
0.02,30,13.622963943884361,1.7817212672807017,9.205765299167068,1.1422734961322427,2.022873842915649,0.10492633780811685
0.02,60,29.56724553560325,4.039079989945646,22.888212284348285,3.1991576202270258,2.551572339255412,0.17430421347741593
0.02,150,86.80666011245297,11.206341342614277,36.934026559112134,3.9272968344095958,3.474438717061496,0.29178971578965873
0.02,300,160.2216693517744,21.658129675595497,46.620986017831235,4.086228488453668,3.812149083810989,0.36224263850891303
0.05,15,6.42456464489617,0.9134750763435745,5.743010739833863,0.7723356131991366,1.240888603643545,0.04376171472161415
0.05,30,14.37549009223899,1.8006449827095108,9.174962457718685,1.1387986044997744,1.9436613904339655,0.09895160294363499
0.05,60,30.304226212423178,4.042481304439187,22.76975178540677,3.2059698159712666,2.598275185587515,0.16862275553459602
0.05,150,85.52012892390823,11.215894878035748,37.6678820686385,3.97261377517352,3.387919880800604,0.2941383384098608
0.05,300,160.6823046719451,21.65972093486351,45.372831593541925,4.014937453987944,3.824703320792288,0.37741884272694964
0.1,15,6.987028600295418,0.8799071913035379,6.719098288803291,0.7546858212139814,1.324868116840377,0.052227517261680914
0.1,30,15.000493074101646,1.8197396812001099,10.065602328025289,1.1670607549731522,2.0159858035694156,0.0985579144502319
0.1,60,31.10891641238355,4.035086252713048,23.50066781638196,3.1858196100403857,2.463355851739218,0.15808267728370368
0.1,150,87.06950510927555,11.195204978919534,36.671044346298665,3.939554923525334,3.2148822082788215,0.2786135042164143
0.1,300,162.5679426624188,21.600928283677153,43.78905935955876,3.954366823372394,3.586172818147606,0.34175448773215206
0.25,15,7.796606269196571,0.7908774030395531,8.352878376157303,0.7368560214140746,2.0232240686877185,0.09556783166560354
0.25,30,14.345290101675083,1.611390059874942,13.493018705741285,1.0731834367687125,2.236403062648882,0.10499939119446453
0.25,60,36.035483286377264,4.0568476775948845,28.60316758217773,3.1640887501533586,2.473734262035241,0.14201075914044048
0.25,150,91.44913077577284,11.11823652582423,40.55982154718967,4.149071304216891,3.232185975531,0.2763956120459705
0.25,300,166.34659256177912,21.706927811285816,45.93008211365313,4.05302325996147,3.661498240035401,0.3424339300359516
0.5,15,6.772729310521477,0.8226497826430895,7.231890502954384,0.7890139591990061,2.3746120318007793,0.09950918187734686
0.5,30,11.683495142036323,1.5200289338116835,12.024861394988957,1.0324175239458833,2.4120480659778316,0.10424414456096473
0.5,60,32.53332533248343,3.66342990232665,28.43481311287378,3.0102444667930195,2.416653005407115,0.12338568488274085
0.5,150,98.14547008755478,10.833360696640357,60.98934603498806,4.427020077879057,2.868806863235256,0.22498258436894125
0.5,300,184.63815155428082,21.3988744830581,51.58958315387554,4.193547484546353,3.4982931592785125,0.27614421428602876
