T,lambda,BAC
250,0.01,0.5989511067892326
250,0.046415888336127774,0.5991972466994536
250,0.21544346900318834,0.6004920684538845
250,1.0,0.6036013632779458
250,4.6415888336127775,0.612890069356401
250,21.54434690031882,0.636921492965662
250,100.0,0.668353995866215
250,464.1588833612773,0.5751108129554516
250,2154.4346900318824,0.5
250,10000.0,0.5
500,0.01,0.7252357161941937
500,0.046415888336127774,0.7255319534434413
500,0.21544346900318834,0.7264785521604176
500,1.0,0.7293438320406197
500,4.6415888336127775,0.7368051070568631
500,21.54434690031882,0.7576380736241201
500,100.0,0.7758754923604667
500,464.1588833612773,0.6921748058886815
500,2154.4346900318824,0.5
500,10000.0,0.5
1000,0.01,0.8491991070124061
1000,0.046415888336127774,0.8496404031566023
1000,0.21544346900318834,0.8507531852639384
1000,1.0,0.8542337630060811
1000,4.6415888336127775,0.8644024817462532
1000,21.54434690031882,0.8814314002274373
1000,100.0,0.8970643210818786
1000,464.1588833612773,0.7941341866909825
1000,2154.4346900318824,0.507468248390209
1000,10000.0,0.5
2000,0.01,0.9149223086921205
2000,0.046415888336127774,0.9151340455590133
2000,0.21544346900318834,0.9160536535764209
2000,1.0,0.9201953136137218
2000,4.6415888336127775,0.9310348194829364
2000,21.54434690031882,0.948293012513842
2000,100.0,0.9537312506761081
2000,464.1588833612773,0.8737756378322722
2000,2154.4346900318824,0.5266706899830922
2000,10000.0,0.5
