T,lambda,BAC
250,0.01,0.6097126947414487
250,0.046415888336127774,0.6102759703784977
250,0.21544346900318834,0.6115072092181839
250,1.0,0.6122506087569581
250,4.6415888336127775,0.616312123344627
250,21.54434690031882,0.6358132989465229
250,100.0,0.6706932428661811
250,464.1588833612773,0.5758461723896413
250,2154.4346900318824,0.5
250,10000.0,0.5
500,0.01,0.7376383921179277
500,0.046415888336127774,0.7381953284822039
500,0.21544346900318834,0.7408038324498699
500,1.0,0.7409745802207247
500,4.6415888336127775,0.744481582702454
500,21.54434690031882,0.7572752444157277
500,100.0,0.7804659445235039
500,464.1588833612773,0.6964918753644199
500,2154.4346900318824,0.5
500,10000.0,0.5
1000,0.01,0.8571479099037295
1000,0.046415888336127774,0.8576189430043636
1000,0.21544346900318834,0.8600947439114581
1000,1.0,0.8642487018538495
1000,4.6415888336127775,0.8718649313989179
1000,21.54434690031882,0.8854164063235402
1000,100.0,0.8999714757814641
1000,464.1588833612773,0.813618604968351
1000,2154.4346900318824,0.50746843207598
1000,10000.0,0.5
2000,0.01,0.9255347978061618
2000,0.046415888336127774,0.925880888914663
2000,0.21544346900318834,0.9278515143395352
2000,1.0,0.9329294692580905
2000,4.6415888336127775,0.9404311653387261
2000,21.54434690031882,0.9518462398681832
2000,100.0,0.9587438900748768
2000,464.1588833612773,0.9059291880729954
2000,2154.4346900318824,0.5270287013636306
2000,10000.0,0.5
