Parameter,MLEK Mean Error,Jump Mean Error,SparseJump Mean Error,p (Sparse < Jump),p (Jump < MLEK),p (Sparse < MLEK)
state0_mean,0.00016447143134651966,0.0001615461232708914,0.00016021965343003842,0.016736506541988803,0.0014840189937445321,0.052646713194440316
state1_mean,0.0017871423849250907,0.0013980111575260415,0.0011798198646140936,7.875705868148527e-36,3.122601963809866e-05,9.336885048945186e-28
state0_vol,0.0002605110848055867,0.0003383978021548107,0.0002838183522547452,2.9566245957427683e-17,0.9999999999998143,0.999912911232961
state1_vol,0.0026798754478776126,0.0020241744326660906,0.0021173361378547476,0.9999999999986624,0.19341143853239484,0.3810670932947512
gamma12,0.0823256094279847,0.0007429488609050993,0.000721290398725034,0.02300749569839374,4.1652711637104983e-165,3.7954844925680806e-165
gamma21,0.0760986107448267,0.006438371077339395,0.006821461550236532,0.5630785370669447,4.403923061835923e-76,2.95007078721917e-76
acc1,0.007934838093316892,0.006605036665547729,0.008461046857269543,0.6129989479514946,0.1002483307331467,0.9469938018438218
acc2,0.13296144943268434,0.06663237892376539,0.06352181827103175,0.20885611984059665,3.9114436698735694e-18,1.995736629621609e-16
BAC,0.06834345001163478,0.034021247401555516,0.03262312117896094,0.22534321067330187,1.2174166797191094e-14,5.223828973762838e-13
