mu,P,sim,MLE_BAC,MLE_acc1,MLE_acc2,MLE_state0_mean,MLE_state1_mean,MLE_q12,MLE_q21,MLEK_BAC,MLEK_acc1,MLEK_acc2,MLEK_state0_mean,MLEK_state1_mean,MLEK_q12,MLEK_q21,Jump_BAC,Jump_acc1,Jump_acc2,Jump_state0_mean,Jump_state1_mean,Jump_q12,Jump_q21,Jump_best_lambda,SparseJump_BAC,SparseJump_acc1,SparseJump_acc2,SparseJump_state0_mean,SparseJump_state1_mean,SparseJump_q12,SparseJump_q21,SparseJump_best_lambda,SparseJump_best_kappa
0.25,150,53,0.7530864197530864,0.5061728395061729,1.0,0.028738463104298877,0.020731825273936265,0.039525691699604744,0.04065040650406504,0.5627572016460906,0.6255144032921811,0.5,0.028037643046022725,0.01913142093081623,0.33548387096774196,0.5555555555555556,0.5298353909465021,0.5596707818930041,0.5,0.028696414003241313,0.019589348580692358,0.35611510791366907,0.4479638009049774,0.701703828670383,0.6390358612580835,0.5637860082304527,0.7142857142857143,0.03584988476336414,0.010672421527126592,0.3104693140794224,0.3918918918918919,3.1622776601683795,1.8651883626089147
0.25,150,54,0.28413654618473894,0.5682730923694779,0.0,0.027207698002040856,0.015418478245661747,0.09302325581395349,0.06690140845070422,0.5271084337349398,0.5542168674698795,0.5,0.018039216503448384,0.027230061802438192,0.16216216216216217,0.1299638989169675,0.8072289156626506,0.6144578313253012,1.0,0.015820489910077746,0.032103591963480047,0.32131147540983607,0.5103092783505154,0.701703828670383,0.8253012048192772,0.6506024096385542,1.0,0.021340716494491218,0.023606673915816844,0.0030864197530864196,0.0,31.622776601683793,4.460753450435659
0.25,150,55,0.26826722338204595,0.5365344467640919,0.0,0.023544480670268337,0.01827237617761383,0.13963963963963963,0.10830324909747292,0.42489313052987376,0.6116910229645094,0.23809523809523808,0.014145828208254555,0.032621844091173885,0.6684210526315789,0.4110032362459547,0.9832985386221295,0.9665970772442589,1.0,0.022955642128759415,-0.0007197072392091516,0.0021598272138228943,0.0,17.012542798525892,0.9895615866388309,0.9791231732776617,1.0,0.02272160246913698,-0.00176123936323787,0.0021321961620469083,0.0,31.622776601683793,1.0
0.25,150,56,0.7410526315789474,0.48210526315789476,1.0,0.018450255991058942,0.025170255222960777,0.0611353711790393,0.04814814814814815,0.5042105263157894,0.7684210526315789,0.24,0.028688232547921924,0.00025833180149008376,0.6379310344827587,0.19321148825065274,0.6589473684210526,0.9978947368421053,0.32,0.022984098933897575,-0.02654942101876006,0.004081632653061225,0.2222222222222222,5.878016072274912,0.7821052631578947,0.5642105263157895,1.0,0.03270130309061991,0.009837493789175571,0.0,0.004310344827586207,31.622776601683793,1.8651883626089147
0.25,150,57,0.7843222442899702,0.6344339622641509,0.9342105263157895,0.03164981891215886,0.015979949271441477,0.10948905109489052,0.1288888888888889,0.5461767626613704,0.5660377358490566,0.5263157894736842,0.030185336119664553,0.017644491733258414,0.5112107623318386,0.4166666666666667,0.5981876861966237,0.4858490566037736,0.7105263157894737,0.024396126279048552,0.02471030193255232,0.44485294117647056,0.5286343612334802,0.01,0.6097939424031777,0.535377358490566,0.6842105263157895,0.03148807613191649,0.017590408868137602,0.4701195219123506,0.47580645161290325,0.31622776601683794,2.7303767252178295
0.25,150,58,0.616,0.616,,0.02786952747863586,0.03932607036284517,0.052083333333333336,0.029315960912052116,0.718,0.718,,0.027175487939758346,0.04523701987739625,0.7021276595744681,0.276536312849162,1.0,1.0,,0.03226883994617223,,0.0,,49.238826317067414,1.0,1.0,,0.03226883994617223,,0.0,,100.0,1.0
0.25,150,59,0.9531141907121019,0.9660574412532638,0.9401709401709402,0.022773395525608062,-0.018031096883198174,0.007978723404255319,0.024390243902439025,0.8448818370489388,0.7154046997389034,0.9743589743589743,0.026622900810371785,-0.004514790708305463,0.12612612612612611,0.10108303249097472,0.9973890339425587,0.9947780678851175,1.0,0.022558487842261676,-0.018714610683872552,0.005263157894736842,0.01680672268907563,5.878016072274912,0.9986945169712793,0.9973890339425587,1.0,0.022438365741058335,-0.01867551285223235,0.005249343832020997,0.01694915254237288,31.622776601683793,3.5955650878267438
0.25,150,60,0.7371908567328962,0.6038781163434903,0.8705035971223022,0.026984886641948723,-0.011736464350016379,0.03404255319148936,0.030303030303030304,0.4547121305725503,0.6648199445983379,0.2446043165467626,0.0019679153019763677,0.016716618580088567,0.3372093023255814,0.7483870967741936,0.9922477530441021,0.9916897506925207,0.9928057553956835,0.02303965683675891,-0.035469717342559395,0.008379888268156424,0.02127659574468085,5.878016072274912,0.9928057553956835,1.0,0.9856115107913669,0.023277397560231696,-0.037807946388821394,0.008287292817679558,0.021897810218978103,10.0,3.5955650878267438
0.25,150,61,0.6006127585074954,0.5696465696465697,0.631578947368421,0.02613876655205891,0.019658019777314052,0.0871559633027523,0.06761565836298933,0.6290075500601817,0.5738045738045738,0.6842105263157895,0.035732962317602666,0.007217451187139368,0.6359447004608295,0.48936170212765956,0.5,1.0,0.0,0.023300199464720665,,0.0,,49.238826317067414,0.5607834555202976,0.5426195426195426,0.5789473684210527,0.03252445999798795,0.012558528107799023,0.3619402985074627,0.4199134199134199,3.1622776601683795,1.0
0.25,150,62,0.3381742738589212,0.6763485477178424,0.0,0.010149536033175642,0.03398627928668521,0.14102564102564102,0.061224489795918366,0.5245504840940526,0.7157676348547718,0.3333333333333333,0.016689046339971148,0.019827345599759544,0.8951048951048951,0.3595505617977528,0.6111111111111112,1.0,0.2222222222222222,0.018274433240795307,-0.06770473082478946,0.0020161290322580645,0.0,17.012542798525892,0.6536422314430613,0.5850622406639004,0.7222222222222222,0.012541791644297846,0.024384064611370097,0.3776223776223776,0.5070422535211268,1.0,1.8651883626089147
0.25,150,63,0.7503897944720057,0.5831325301204819,0.9176470588235294,0.012178980068370523,0.004561107642253485,0.060240963855421686,0.056,0.4757618710134656,0.7397590361445783,0.21176470588235294,0.012979607955530548,-0.005372772382051907,0.6507936507936508,0.21983914209115282,0.7320340184266478,0.7228915662650602,0.7411764705882353,0.011304813385104381,0.003018281714754345,0.012422360248447204,0.022598870056497175,5.878016072274912,0.9546420978029766,0.944578313253012,0.9647058823529412,0.016472824975819884,-0.02218439819256161,0.020253164556962026,0.0673076923076923,10.0,7.056318538262403
